Kostenstelle,Beschreibung,Profitcenter,Amt,Produkt,Gültig_ab,Gültig_bis
102122,Zentrale Speicherumgebung,110200126,1020,0126,1/1/2015,12/31/9999
102123,Servervirtualisierung,110200126,1020,0126,1/1/2005,12/31/9999
102124,Zentraler Datenbankbetrieb,110200126,1020,0126,1/1/2015,12/31/9999
102125,Terminalserverdienste,110200126,1020,0126,1/1/2015,12/31/9999
102126,IT-Sicherheit,110200126,1020,0126,1/1/2005,12/31/9999
102127,Externe Gebührenkasse (Meso),110200126,1020,0126,6/1/2009,12/31/9999
102128,LIMAS,110200126,1020,0126,1/1/2005,12/31/9999
102130,Black Berrys/Mobile Lösung,110200126,1020,0126,10/1/2007,12/31/9999
102131,Desktopvirtualisierung,110200126,1020,0126,8/1/2010,12/31/9999
102132,Sharepoint-Plattform,110200126,1020,0126,1/1/2010,12/31/9999
102133,Mobile Device Management,110200126,1020,0126,11/1/2011,12/31/9999
102134,IT Betrieb Telearbeitsplätze,110200126,1020,0126,1/1/2012,12/31/9999
102135,Dienstausweise,110200126,1020,0126,1/1/2014,12/31/9999
102140,Telefondienste,110200126,1020,0126,1/1/2012,12/31/9999
102141,Datendienste,110200126,1020,0126,1/1/2012,12/31/9999
102142,WIN-IPEV Zeiterfassung u. Schließanlagen,110200126,1020,0126,1/1/2016,12/31/9999
102143,IT Betrieb Druckkosten MFG,110200126,1020,0126,7/1/2015,12/31/9999
102144,Telefongebühren,110200126,1020,0126,1/1/2014,12/31/9999
102145,Freifunk,110200126,1020,0126,1/1/2016,12/31/9999
102800,Leitung IT-Betrieb,110200126,1020,0126,1/1/2016,12/31/9999
102801,Leitung 10-2,110000100,1000,0100,12/1/2015,12/31/9999
102802,"Haushalt, Beschaffung, Vertragscontr.",110000100,1000,0100,12/1/2015,12/31/9999
102803,"Haushalt, Schulungen",110000100,1000,0100,4/1/2016,12/31/9999
102810,Organisation / Progr,110200126,1020,0126,1/1/2005,12/31/9999
102820,IT-Basisdienste,110200126,1020,0126,1/1/2016,12/31/9999
102830,Endgerätebetreuung,110200126,1020,0126,1/1/2016,12/31/9999
102840,Kommunikationstechnik 1,110200126,1020,0126,1/1/2011,12/31/9999
102841,Kommunikationstechnik 2,110200126,1020,0126,1/1/2012,12/31/9999
102842,Unterhaltung Datentechnik,110200126,1020,0126,1/1/2012,12/31/9999
102843,Unterhaltung Telefonanlage,110200126,1020,0126,1/1/2012,12/31/9999
103800,Leitung Zentrale Dienste,110000109,1000,0109,11/1/2015,12/31/9999
103802,Beschaffung 2,110000109,1000,0109,1/1/2007,12/31/9999
103803,Beschaffung 3,110000109,1000,0109,1/1/2007,12/31/9999
103805,Beschaffung 5,110000109,1000,0109,1/1/2007,12/31/9999
103806,Beschaffung 6,110000109,1000,0109,1/1/2007,12/31/9999
103807,Ltg. Postdienst,110000109,1000,0109,1/1/2007,12/31/9999
103808,Postdienst 1,110000109,1000,0109,1/1/2007,12/31/9999
103809,Postdienst 2,110000109,1000,0109,1/1/2007,12/31/9999
103811,Postdienst 4,110000109,1000,0109,1/1/2007,12/31/9999
103812,Postdienst 5,110000109,1000,0109,1/1/2007,12/31/9999
103813,Postdienst 6,110000109,1000,0109,1/1/2007,12/31/9999
103814,Postdienst 7,110000109,1000,0109,1/1/2007,12/31/9999
103815,Ltg. Druckerei/Offset,110000109,1000,0109,7/1/2015,12/31/9999
103816,Druckerei/Offset 1,110000109,1000,0109,1/1/2007,12/31/9999
103817,Druckerei/Offset 2,110000109,1000,0109,1/1/2007,12/31/9999
103818,Druckerei /Offset 3,110000109,1000,0109,1/1/2007,12/31/9999
103819,Druckerei/Offset 4,110000109,1000,0109,1/1/2007,12/31/9999
103820,Druckerei/Offset 5,110000109,1000,0109,1/1/2007,12/31/9999
103821,Druckerei/Offset 6,110000109,1000,0109,1/1/2007,12/31/9999
103822,Medienbeschaffung,110000109,1000,0109,10/1/2015,12/31/9999
103823,Elektronischer Einkauf,110000109,1000,0109,1/1/2007,12/31/9999
103831,Schreinerei,110000109,1000,0109,1/1/2007,12/31/9999
103832,Information,110000109,1000,0109,1/1/2007,12/31/9999
103835,Postdienst 8 ab 2011 davor Beschaffung 7,110000109,1000,0109,1/1/2008,12/31/9999
103837,Ausbildungskraft Druckerei,110000109,1000,0109,11/1/2012,12/31/9999
103838,Beschaffung 7,110000109,1000,0109,6/1/2013,12/31/9999
103839,Beschaffung 4,110000109,1000,0109,1/1/2014,12/31/9999
103840,Beschaffung 8,110000109,1000,0109,10/1/2015,12/31/9999
103842,Sitzungsdienst,110000109,1000,0109,12/1/2015,12/31/9999
105810,Fuhrparkmanagement,110000123,1000,0123,6/1/2012,12/31/9999
105820,Fuhrparkzentrale,110000123,1000,0123,7/1/2012,12/31/9999
106800,Leiter der BezVSt Bonn,110660130,1066,0130,1/1/2007,12/31/9999
106802,Vorzimmer des Leiters der BezVSt,110660130,1066,0130,1/1/2007,12/31/9999
106803,Vorzimmer des Bezirksbürgermeisters,110660130,1066,0130,1/1/2007,12/31/9999
106804,Sachbearbeiterin 3,110660130,1066,0130,4/1/2013,12/31/9999
106805,Sachbearbeiterin 2,110660130,1066,0130,1/1/2007,12/31/9999
106806,Sachbearbeiterin 1,110660130,1066,0130,1/1/2007,12/31/9999
107800,Leiter der BezVSt Bad Godesberg,110770131,1077,0131,1/1/2007,12/31/9999
107801,Abteilungsleiter,110770131,1077,0131,1/1/2007,12/31/9999
107802,Vorzimmer des Leiters der BezVSt,110770131,1077,0131,1/1/2007,12/31/9999
107803,Vorzimmer der Bezirksbürgermeisterin,110770131,1077,0131,3/1/2008,12/31/9999
107804,Hausdienst 1,110770131,1077,0131,1/1/2007,12/31/9999
107805,Sachbearbeiter 1,110770131,1077,0131,1/1/2007,12/31/9999
107807,Pforte,110770131,1077,0131,1/1/2007,12/31/9999
107808,Ehe- und Altersjubiläen,110770131,1077,0131,1/1/2007,12/31/9999
108800,Leiter der BezVSt Beuel,110880132,1088,0132,1/1/2007,12/31/9999
108801,Abteilungsleiter,110880132,1088,0132,1/1/2007,12/31/9999
108802,Vorzimmer des Leiters der BezVSt,110880132,1088,0132,1/1/2007,12/31/9999
108803,Vorzimmer 1 des Bezirksbürgermeisters,110880132,1088,0132,1/1/2007,12/31/9999
108804,Informationen für das Rathaus,110880132,1088,0132,1/1/2007,12/31/9999
108805,Sachbearbeiter 1,110880132,1088,0132,1/1/2007,12/31/9999
108806,Sachbearbeiter 2,110880132,1088,0132,1/1/2007,12/31/9999
108807,Vorzimmer 2 des Bezirksbürgermeisters,110880132,1088,0132,1/1/2007,12/31/9999
109800,Leiter der BezVSt Hardtberg,110990133,1099,0133,1/1/2007,12/31/9999
109801,Abteilungsleiter,110990133,1099,0133,1/1/2007,12/31/9999
109802,Vorzimmer Leiter BezVSt,110990133,1099,0133,2/1/2014,12/31/9999
109804,Vorzimmer Bezirksbürgermeister/in,110990133,1099,0133,1/1/2007,12/31/9999
109806,Hausdienst,110990133,1099,0133,1/1/2007,12/31/9999
109809,Sachbearbeiter,110990133,1099,0133,2/1/2014,12/31/9999
110800,Abteilungsleitung/Vorzimmer,111000116,1100,0116,1/1/2016,12/31/9999
110802,Personalbeschaffung und Personaleinsatz,111000116,1100,0116,1/1/2011,12/31/9999
110803,Stellenplan,111000116,1100,0116,1/1/2011,12/31/9999
110804,"Haushalt, Personalkostenbudgetierung",111000116,1100,0116,1/1/2011,12/31/9999
110805,BFD (Bundesfreiwilligendienst) u. 1 EURO,111000116,1100,0116,1/1/2011,12/31/9999
110806,Grundsätzliche Personalangelegenheiten,111000116,1100,0116,1/1/2011,12/31/9999
110807,Ausbildung,111000116,1100,0116,1/1/2011,12/31/9999
110808,"Fortbildung, Dienstreisen",111000116,1100,0116,1/1/2011,12/31/9999
110809,Projekt Einführung LOGA,111000116,1100,0116,1/1/2011,12/31/9999
110810,Organisationsentwicklung,111000116,1100,0116,12/1/2015,12/31/9999
110812,Ausbildungskräfte,111000116,1100,0116,1/1/2011,12/31/9999
110813,Zentralbudget,111000116,1100,0116,1/1/2011,12/31/9999
110814,disponible Übersollkräfte (z),111000116,1100,0116,1/1/2011,12/31/9999
110815,Beschäftigtenvertretung,111000115,1100,0115,1/1/2011,12/31/9999
110901,Beihilfe Beamte,111000116,1100,0116,1/1/2011,12/31/9999
110902,Beihilfe Angestellte,111000116,1100,0116,1/1/2011,12/31/9999
110903,Pensionszahlungen/Rückstellungen,111000116,1100,0116,1/1/2011,12/31/9999
110904,Rückstellungen Beamte SGB,111000116,1100,0116,1/1/2011,12/31/9999
110905,Rückstellungen Beamte Seniorenzentren,111000116,1100,0116,1/1/2011,12/31/9999
110906,Rückstellungen Beamte Theater,111000116,1100,0116,1/1/2011,12/31/9999
110907,Pensionsverpflichtung nach §107b,111000116,1100,0116,1/1/2011,12/31/9999
110908,Pensions- und Beihilfezahlungen,111000116,1100,0116,1/1/2011,12/31/9999
110909,Pensionszahlungen 41-2,111000116,1100,0116,1/1/2011,12/31/9999
110910,Rückstellungen SWB,111000116,1100,0116,5/1/2011,12/31/9999
110911,Staatsvertrag Versorgungslasten,111000116,1100,0116,1/1/2011,12/31/9999
113834,Studieninstitut,111000116,1100,0116,1/1/2011,12/31/9999
114801,Abteilungsleiter 11-2,111000116,1100,0116,1/1/2011,12/31/9999
114802,lfd. Personalsachbearbeitung Beamte,111000116,1100,0116,1/1/2011,12/31/9999
114803,Buchhaltung Beamte,111000116,1100,0116,1/1/2011,12/31/9999
114804,Beihilfe Beamte,111000116,1100,0116,1/1/2011,12/31/9999
114805,Mitarbeit Persoanalsachbearbeitung,111000116,1100,0116,1/1/2011,12/31/9999
114806,Personalgestellung SWB (BgA),111000116,1100,0116,1/1/2011,12/31/9999
114807,Personalgestellung T&C (BgA),111000116,1100,0116,1/1/2011,12/31/9999
114808,Personalgestellung Region Köln/Bonn e.V.,111000116,1100,0116,1/1/2011,12/31/9999
114809,Beethovenstiftung,111000116,1100,0116,8/1/2015,12/31/9999
115801,Abteilungsleitung   11-3,111000116,1100,0116,1/1/2011,12/31/9999
115802,lfd. Personalsachbearbeitung Besch.,111000116,1100,0116,1/1/2011,12/31/9999
115803,Buchhaltung Beschäftigte,111000116,1100,0116,1/1/2011,12/31/9999
130800,Amtsleitung und Vorzimmer,113000114,1300,0114,1/1/2006,12/31/9999
130802,Medienauswertung,113000114,1300,0114,11/1/2012,12/31/9999
130888,Sammler Freistellungen,113000114,1300,0114,1/1/2006,12/31/9999
131801,Medienredaktion,113000114,1300,0114,11/1/2012,12/31/9999
131802,Internetstrategie und soziale Medien,113000114,1300,0114,11/1/2012,12/31/9999
131803,Photoarchiv,113000114,1300,0114,1/1/2006,12/31/9999
132801,Marketingservice,113000114,1300,0114,11/1/2012,12/31/9999
132802,Graphische Abteilung,113000114,1300,0114,1/1/2006,12/31/9999
140800,Rechnungsprüfungsamt,114000107,1400,0107,1/1/2007,12/31/9999
140888,Sammler Freistellungen,114000107,1400,0107,1/1/2011,12/31/9999
200800,Amtsleitung und Vorzimmer,120000120,2000,0120,2/1/2015,12/31/9999
200888,Sammler Freistellungen,120000120,2000,0120,1/1/2006,12/31/9999
200900,Hilfs-Kst SAP-NKF,120000120,2000,0120,1/1/2010,12/31/9999
201800,Abteilungsleitung 20-1,120000120,2000,0120,1/1/2016,12/31/9999
201801,Haushaltsmanagement,120000120,2000,0120,1/1/2005,12/31/9999
201803,Ford.- und Verm.- vw,120000120,2000,0120,1/1/2005,12/31/9999
201804,Schuld.-vw.u. Liquid,120000120,2000,0120,1/1/2005,12/31/9999
201806,Vw Stiftungen,120000120,2000,0120,1/1/2005,12/31/9999
201900,Hkst Vermögen/Schulden,120000120,2000,0120,10/1/2008,12/31/9999
201901,SKst St.kapital Stiftungen (Wertpapiere),100001700,0000,1700,1/1/2007,12/31/9999
201902,SKst Rücklagen Stiftungen (Termingelder),100001700,0000,1700,1/1/2007,12/31/9999
202800,Abteilungsleitung 20-2,120000120,2000,0120,1/1/2005,12/31/9999
202801,Beteiligungen,120000120,2000,0120,1/1/2005,12/31/9999
202802,Allg.Verw.Angelegenh./NKF-SAP,120000120,2000,0120,1/1/2012,12/31/9999
202803,Betriebswirtschaftliche Kalkulation,120000120,2000,0120,1/1/2010,12/31/9999
202804,Controlling/internes Rechnungsswesen,120000120,2000,0120,1/1/2010,12/31/9999
202806,Gesamtabschluss,120000120,2000,0120,10/1/2011,12/31/9999
210800,Amtsleiterin 21,121000100,2100,0100,1/1/2005,12/31/9999
210888,Sammler Freistellungen,121000100,2100,0100,1/1/2006,12/31/9999
211800,Abteilungsleiter,121000121,2100,0121,1/1/2005,12/31/9999
211801,Vorbuch Debitoren,121000121,2100,0121,1/1/2005,12/31/9999
211802,Vorbuch Kreditoren,121000121,2100,0121,1/1/2005,12/31/9999
211803,Zahlungsabwicklung,121000121,2100,0121,1/1/2005,12/31/9999
211804,Hauptbuch,121000121,2100,0121,1/1/2005,12/31/9999
211805,Vollstreckung in Ah,121000121,2100,0121,1/1/2005,12/31/9999
211806,Vollstreckung,121000121,2100,0121,1/1/2005,12/31/9999
211807,Anlagenbuchhaltung,121000121,2100,0121,1/1/2012,12/31/9999
211809,Zentrale Aufgaben PC,121000121,2100,0121,1/1/2005,12/31/9999
212801,Mitarbeiterkostenstelle,121000122,2100,0122,1/1/2005,12/31/9999
212802,MAKST 21-01,121000122,2100,0122,12/1/2012,12/31/9999
230803,Verwaltung,123000128,2300,0128,2/1/2016,12/31/9999
230804,Grundstücksmanagement I,123000128,2300,0128,2/1/2016,12/31/9999
230805,Grundstücksmanagement II,123000128,2300,0128,2/1/2016,12/31/9999
230900,Brückenforum (BgA),123000128,2300,0128,2/1/2016,12/31/9999
230901,Viktoriakarree (BgA),123000128,2300,0128,2/1/2016,12/31/9999
231888,Sammler Freistellungen,123000128,2300,0128,1/1/2011,1/31/2016
250802,Referat Vergabedienste,125000108,2500,0108,9/1/2013,12/31/9999
251888,Sammler Freistellungen,125000108,2500,0108,9/1/2013,12/31/9999
300800,Amtsleiterin,130000000,3000,0000,1/1/2006,12/31/9999
300801,Stellv. Amtsleiterin,130000000,3000,0000,1/1/2006,12/31/9999
300803,Vorzimmer 2,130000000,3000,0000,1/1/2006,12/31/9999
300804,Registratur,130000000,3000,0000,1/1/2006,12/31/9999
300807,Abteilungsleitung 1,130000000,3000,0000,1/1/2006,12/31/9999
300808,Sondermitarbeiterin Haushalt und KLR,130000000,3000,0000,1/1/2014,12/31/9999
300888,Sammler Freistellungen,130000000,3000,0000,1/1/2006,12/31/9999
300900,Telefonkosten / Portokosten,130000000,3000,0000,1/1/2008,12/31/9999
300901,"Reisekosten, Fachliteratur, u.a.",130000000,3000,0000,12/1/2015,12/31/9999
301807,Datenschutz,130000127,3000,0127,1/1/2011,12/31/9999
301808,Ortsrecht,130000127,3000,0127,1/1/2011,12/31/9999
301810,Juristische Sachbearbeitung,130000127,3000,0127,1/1/2014,12/31/9999
301811,Priv.rechtl-Vollstreck./Ersatzansprüche,130000127,3000,0127,1/1/2016,12/31/9999
301812,Versicherungs-u. Haftpflichtangelegenh.,130000127,3000,0127,1/1/2016,12/31/9999
302806,RV-Angelegenheiten,130000512,3000,0512,1/1/2006,12/31/9999
330800,Amtsleiterin,133000200,3300,0200,1/1/2008,12/31/9999
330801,Allg. Verwaltung,133000200,3300,0200,1/1/2006,12/31/9999
330802,Verwaltung Wahlen,133000200,3300,0200,1/1/2006,12/31/9999
330803,Vorzimmer,133000200,3300,0200,1/1/2008,12/31/9999
330888,Sammler Freistellungen,133000200,3300,0200,1/1/2006,12/31/9999
330900,Telefon- / Portokosten / Büromaterial,133000200,3300,0200,11/1/2008,12/31/9999
331020,0800 Verwaltung,133000203,3300,0203,1/1/2006,12/31/9999
331021,0700 Halle,133000203,3300,0203,1/1/2006,12/31/9999
331023,0520 Wohnwagenplatz,133000203,3300,0203,1/1/2006,12/31/9999
331024,0510 Hütten,133000203,3300,0203,1/1/2006,12/31/9999
331025,Grund und Boden Halle Beuel /Sammler AfA,133000203,3300,0203,1/1/2007,12/31/9999
331800,"Abtlg. 33-1 Ordnungs-,Markt- u.Gewerbang",133000200,3300,0200,1/1/2006,12/31/9999
331810,SG 33-11,133000201,3300,0201,1/1/2006,12/31/9999
331820,SG 33-12 Leistungszentrum Märkte,133000203,3300,0203,1/1/2006,12/31/9999
331831,"SG 33-13 Gewerbeangel., Sondernutzungen",133000200,3300,0200,1/1/2007,12/31/9999
331832,SG-Ltr.33-11/-12,133000200,3300,0200,4/1/2010,12/31/9999
331833,Veranstaltungskoordination,133000201,3300,0201,1/1/2012,12/31/9999
331912,Verwaltungsgebühren,133000203,3300,0203,12/1/2007,12/31/9999
332800,Abtl.ltr. 33-2 Ordnungsw./Stadtordnungsd,133000200,3300,0200,1/1/2006,12/31/9999
332801,33-20 Geschäftsstelle,133000204,3300,0204,1/1/2006,12/31/9999
332802,Leitstelle Stadtordnungsdienst,133000200,3300,0200,1/1/2007,12/31/9999
332811,SG 33-21 Allg. Ordnungswidrigkeiten,133000201,3300,0201,1/1/2007,12/31/9999
332812,SG-33-25 Schnelle Eingreiftruppe,133000201,3300,0201,1/1/2014,12/31/9999
332820,SG 33-22,133000204,3300,0204,1/1/2006,12/31/9999
332831,SG 33-231 Ordnungsaußendienst,133000201,3300,0201,11/1/2008,12/31/9999
332840,SG-33-24 GABI,133000201,3300,0201,1/1/2007,12/31/9999
332850,SG 33-232 Verkehrsaußendienst,133000204,3300,0204,11/1/2008,12/31/9999
333800,33-3 Standesamt Bonn,133000206,3300,0206,1/1/2006,12/31/9999
334810,Abt.-ltr. und MA 33-41,133000205,3300,0205,1/1/2006,12/31/9999
334820,Abt.-ltr. und MA 33-42,133000205,3300,0205,1/1/2006,12/31/9999
334830,Abt.-ltr. und MA 33-43,133000205,3300,0205,1/1/2006,12/31/9999
334840,Abt.-ltr. und MA 33-44,133000205,3300,0205,1/1/2006,12/31/9999
335800,33-5 Straßenverkehrsamt,133000204,3300,0204,1/1/2006,12/31/9999
335801,33-51 Verkehrslenkung,133000204,3300,0204,3/1/2008,12/31/9999
335802,Abt.-ltr. Straßenverkehrsamt,133000204,3300,0204,4/1/2008,12/31/9999
336800,33-6 Ausländeramt,133000205,3300,0205,1/1/2006,12/31/9999
370022,Gebäudekosten,137000200,3700,0200,1/1/2006,12/31/9999
370023,Lager/AfA Teilergebnisse 1 und 2,137000200,3700,0200,1/1/2006,12/31/9999
370025,Gebäude Leitstelle,137000200,3700,0200,1/1/2015,12/31/9999
370028,Gebäude Ausbildungszentrum,137000200,3700,0200,1/1/2006,12/31/9999
370029,Geb. Hallenkomplex Maarstr. 26,137000200,3700,0200,1/1/2006,12/31/9999
370030,Gebäudekosten Feuerwache 2,137000200,3700,0200,1/1/2006,12/31/9999
370031,Gebäudekosten Feuerwache 3,137000200,3700,0200,1/1/2006,12/31/9999
370032,Gebäudekosten Feuerwache 1,137000200,3700,0200,1/1/2006,12/31/9999
370033,Gebäude Hochstadenring 50,137000221,3700,0221,1/1/2013,12/31/9999
370034,Einsatzleitsystem (Bewirtschaftung/AfA),137000200,3700,0200,1/1/2007,12/31/9999
370035,TK-Anlage (Bewirtschaftung/AfA),137000200,3700,0200,1/1/2007,12/31/9999
370038,Kleinteile / Geräte bonnorange,137000200,3700,0200,1/1/2013,12/31/9999
370801,Amtsleitung und Verwaltung,137000200,3700,0200,1/1/2006,12/31/9999
370802,Personalrat,137000200,3700,0200,1/1/2006,12/31/9999
370803,Rettungsdienst Abrechnung,137000200,3700,0200,9/1/2011,12/31/9999
370811,ADV,137000200,3700,0200,1/1/2006,12/31/9999
370816,Katastrophenschutz Einsatzdienst,137000200,3700,0200,1/1/2006,12/31/9999
370817,KatS Verwaltung,137000200,3700,0200,1/1/2006,12/31/9999
370833,Verwaltung,137000200,3700,0200,1/1/2007,12/31/9999
370834,Rettungsdienst Planung,137000200,3700,0200,12/30/2008,12/31/9999
370835,Rettungsdienstzentraldepot,137000200,3700,0200,12/30/2008,12/31/9999
370837,Personal RTW,137000200,3700,0200,10/1/2010,12/31/9999
370838,Rettungsdienst Verwaltung,137000200,3700,0200,9/1/2011,12/31/9999
370839,Rettungsdienst Organisation,137000200,3700,0200,1/1/2012,12/31/9999
370840,Verwaltungsleitung,137000200,3700,0200,1/1/2014,12/31/9999
370920,Sammler Rettungsdienst,137000221,3700,0221,1/1/2006,12/31/9999
370921,Sammler Brandschutz,137000219,3700,0219,1/1/2006,12/31/9999
370924,Lager/AfA Teilergebnisse 1-3,137000200,3700,0200,1/1/2006,12/31/9999
370925,Sammler AfA Brandschutz,137000219,3700,0219,1/1/2006,12/31/9999
370926,Lager/AfA Rettungsdienst,137000221,3700,0221,1/1/2006,12/31/9999
370928,Sammler Gebührenabrechnung Rettungsd.,137000221,3700,0221,1/1/2013,12/31/9999
370936,Personalverwaltungsprogramm SP-Expert,137000200,3700,0200,1/1/2007,12/31/9999
370937,Infrastruktur Wachalarm,137000200,3700,0200,1/1/2007,12/31/9999
370939,Digitale Alarmierung Infrastruktur,137000200,3700,0200,1/1/2008,12/31/9999
370940,GIBAS,137000200,3700,0200,10/1/2010,12/31/9999
370941,Feuernetz,137000200,3700,0200,10/1/2011,12/31/9999
370942,Einsatzstellennetzwerk,137000200,3700,0200,1/1/2014,12/31/9999
370943,"Betten, Bettwäsche",137000200,3700,0200,1/1/2014,12/31/9999
370944,Externe User Feuernetz,137000200,3700,0200,10/1/2015,12/31/9999
370945,Modul Inventarisierung/Prüfung Feuernetz,137000200,3700,0200,10/1/2015,12/31/9999
371805,Einsatzvorbereitung,137000200,3700,0200,1/1/2006,12/31/9999
371806,FF und Ausbildung,137000200,3700,0200,1/1/2006,12/31/9999
371812,Personaleinsatz,137000200,3700,0200,1/1/2006,12/31/9999
371813,Leitstelle,137000200,3700,0200,1/1/2006,12/31/9999
371814,Wachabteilungen,137000200,3700,0200,1/1/2006,12/31/9999
371815,Fahrer NEF,137000200,3700,0200,11/1/2010,12/31/9999
371818,Grundausbildungslehrgang,137000200,3700,0200,1/1/2006,12/31/9999
371819,Werkfeuerwehr Uniklinik,137000219,3700,0219,7/1/2016,12/31/9999
371888,Sammler Freistellungen,137000200,3700,0200,1/1/2006,12/31/9999
371914,Mehrarbeitsvergütung UKB,137000200,3700,0200,7/1/2015,12/31/9999
372804,Vorbeugender Brandschutz,137000200,3700,0200,1/1/2006,12/31/9999
372807,Verwaltung VB,137000200,3700,0200,1/1/2006,12/31/9999
373809,Technik,137000200,3700,0200,1/1/2006,12/31/9999
373810,Werkstätten,137000200,3700,0200,12/30/2008,12/31/9999
379000,BN-2012,137000219,3700,0219,1/1/2009,12/31/9999
379001,BN-2014,137000219,3700,0219,1/1/2009,12/31/9999
379002,BN-2015,137000219,3700,0219,1/1/2009,12/31/9999
379003,BN-2019,137000219,3700,0219,1/1/2009,12/31/9999
379006,BN-2055,137000219,3700,0219,1/1/2009,12/31/9999
379007,BN-2061,137000219,3700,0219,1/1/2009,12/31/9999
379008,BN-2070,137000219,3700,0219,1/1/2009,12/31/9999
379009,BN-2096,137000219,3700,0219,1/1/2009,12/31/9999
379010,BN-2134,137000219,3700,0219,1/1/2009,12/31/9999
379011,BN-2138,137000219,3700,0219,1/1/2009,12/31/9999
379014,BN-2504,137000219,3700,0219,1/1/2009,12/31/9999
379015,BN-BN 1955 Oldtimer,137000219,3700,0219,1/1/2012,12/31/2099
379017,BN-2509,137000219,3700,0219,1/1/2009,12/31/9999
379020,BN-2512,137000219,3700,0219,1/1/2009,12/31/9999
379021,MZB-01 2-79-01,137000219,3700,0219,7/1/2012,12/31/9999
379024,BN-BN 2517 GW-Licht,137000219,3700,0219,1/1/2010,12/31/9999
