EJERCICIO;GASTO/INGRESO;CAPITULO;ARTICULO;CONCEPTO;SUBCONCEPTO;DESCRIPCION CORTA;DESCRIPCION LARGA
2016;G;7;76;;;A Corporaciones Locales;A Corporaciones Locales
2016;G;7;77;;;A Empresas Privadas;A Empresas Privadas
2016;G;7;78;;;A fam,ins.sin fines lucro;A familias e instituciones sin fines de lucro
2016;G;7;79;;;Al Exterior;Al Exterior
2016;G;8;80;;;Conc. prst. y anticipos;Concesin de prstamos y anticipos
2016;G;8;81;;;Adquis. accion. Sect.Pbl;Adquis.acciones y participaciones del Stor Pblico
2016;G;8;82;;;Adquis. accion. Sect.Priv;Adq. acciones y participaciones del Sector Privado
2016;G;8;85;;;Const.Fianzas y depsitos;Constitucin de fianzas y depsitos
2016;G;8;87;;;Aport. Patrimoniales;Aportaciones Patrimoniales
2016;G;9;90;;;Amortiz. Deuda Pblica;Amortizacin de Deuda Pblica
2016;G;9;91;;;Amortizacin prstamos;Amortizacin de Prstamos
2016;G;1;10;100;;Bsicas y otras Alt.Cargo;Retr. bsicas y otras de Altos Cargos
2016;G;1;11;110;;Bsicas y otras P.Ev.Gab.;Retr. bsicas y otras de Person. Eventual Gabinete
2016;G;1;12;120;;Ret. bsicas Funcionarios;Retribuciones bsicas de Personal Funcionario
2016;G;1;12;121;;Retr. compl. Funcionarios;Retrib. complementarias de Personal Funcionario
2016;G;1;12;122;;Retr.especie Funcionario;Retribuciones en especie de Personal Funcionario
2016;G;1;12;123;;Retr. Bs. P Func Docente;Retr. Bsicas Personal Funcionario Docente
2016;G;1;12;124;;Retr. Com. P Func Docente;Retr. Complementarias Personal Funcionario Docente
2016;G;1;12;125;;RB F Nal. Justicia;Retribuciones Bsicas Funcionarios Nal. Justicia
2016;G;1;12;126;;RC F Nal. Justicia;Retribuciones Complem. Funcionarios Nal. Justicia
2016;G;1;13;130;;Laboral fijo;Laboral fijo
2016;G;1;13;131;;Laboral Eventual;Laboral Eventual
2016;G;1;14;140;;Otro personal;Otro personal
2016;G;1;15;150;;Productividad;Productividad
2016;G;1;15;151;;Gratificaciones;Gratificaciones
2016;G;1;16;160;;Cuotas Sociales;Cuotas Sociales
2016;G;1;16;161;;Gtos.Soc.Func. y no labor;Gastos Sociales de Funcionarios y pers. no Laboral
2016;G;1;16;162;;Gtos. sociales Laborales;Gastos sociales de Personal Laboral
2016;G;1;16;165;;Fondo de Accin Social;Fondo de Accin Social
2016;G;1;17;170;;Fondo Incremento Norm.;Fondo de Incremento Normativo
2016;G;1;17;171;;Fondos Adicionales;Fondos Adicionales
2016;G;1;17;172;;Otros Fondos Adicionales;Otros Fondos Adicionales
2016;G;1;18;180;;Ret.Func,APD,est,no labor;Retr. personal. func.,APD,estatutario y no laboral
2016;G;1;18;182;;Retr otro Est. Temp.;Retribuciones de otro pers. estatutario temporal
2016;G;1;18;183;;Labor fijo de Inst.Sanit.;Personal laboral fijo de Instituciones Sanitarias
2016;G;1;18;184;;Personal laboral eventual;Personal laboral eventual
2016;G;1;18;185;;Inc.Rendim. Per Ins.Sanit;Inc. al rendimiento personal Instit. Sanitarias
2016;G;1;18;186;;Cuotas,prest. y gtos soc.;Cuotas,prest. y gtos soc. de Pers Inst. Sanitar.
2016;G;1;18;187;;Personal en Formacin;Personal en Formacin
2016;G;2;20;200;;Arrend. Terr y  B. natur.;Arrendamientos de terrenos y bienes naturales
2016;G;2;20;202;;Arrend. Edific. y constr;Arrendamientos de edificios y otras construcciones
2016;G;2;20;203;;Arrend. Maq,inst,utillaje;Arrendamientos maquinaria, instalacin y utillaje
2016;G;2;20;204;;Arrend. Material transp.;Arrendamientos de material de transporte
2016;G;2;20;205;;Arrend. Mobil.,enseres;Arrendamientos de mobiliario y enseres
2016;G;2;20;206;;Arrend. Equip proc inform;Arrendamientos de equipos procesos de informacin
2016;G;2;20;209;;Arrend. otro inmov. mat.;Arrendamientos de otro inmovilizado material
2016;G;2;21;210;;Rep.Const.Terr y B.natur.;Rep. y conservacin de terrenos y bienes naturales
2016;G;2;21;212;;Rep.Const. Edif. y constr;Rep. y conservacin edificios y otras construcc.
2016;G;2;21;213;;Rep.Const. Maq,inst,utill;Rep. y conserv. maquinaria,instalaciones,utillaje
2016;G;2;21;214;;Rep.Const. Mat. transport;Reparacin y conservacin material de transporte
2016;G;2;21;215;;Rep.Const. Mobil.,enseres;Reparacin y conservacin de mobiliario y enseres
2016;G;2;21;216;;Rep.Const. Equip informac;Rep. y conserv. equipos procesos de informacin
2016;G;2;21;219;;Rep.Const. otr inm. mat.;Rep. y conservacin de otro inmovilizado material
2016;G;2;22;220;;Material de oficina;Material de oficina
2016;G;2;22;221;;Suministros;Suministros
2016;G;2;22;222;;Comunicaciones;Comunicaciones
2016;G;2;22;223;;Transporte;Transporte
2016;G;2;22;224;;Primas de seguros;Primas de seguros
2016;G;2;22;225;;Tributos;Tributos
2016;G;2;22;226;;Gastos diversos;Gastos diversos
2016;G;2;22;227;;Trabajos otras empresas;Trabajos realizados por otras empresas
2016;G;2;22;229;;Gtos. Ctros doc. no univ.;Gastos en centros docentes no universitarios
2016;G;2;23;230;;Dietas;Dietas
2016;G;2;23;231;;Locomocin;Locomocin
2016;G;2;23;232;;Traslado;Traslado
2016;G;2;23;239;;Otras indemnizaciones;Otras indemnizaciones
2016;G;2;24;240;;Arrend. servicios nuevos;Arrendamientos para servicios nuevos
2016;G;2;24;241;;Rep. conserv serv. nuevos;Reparacin y conservacin para servicios nuevos
2016;G;2;24;242;;Mater,sumin. serv. nuevos;Material,suministros y otros para servicios nuevos
2016;G;2;24;243;;Dietas,locom. serv.nuevos;Dietas y locomociones para servicios nuevos
2016;G;2;24;244;;Ac.concertada serv.nuevos;Accin concertada en servicios nuevos
2016;G;2;24;249;;Otros gastos serv. nuevos;Otros gastos en servicios nuevos
2016;G;2;25;250;;Gastos pruebas selectivas;Gastos en pruebas selectivas
2016;G;2;25;251;;Realizacin de cursos;Gastos de realizacin de cursos
2016;G;2;26;261;;Concier. Asist. Sanitaria;Conciertos para Asistencia Sanitaria
2016;G;2;26;262;;Otros Serv. As. Sanitaria;Otros Servicios de Asistencia Sanitaria
2016;G;2;26;263;;Acc.concertada S.Sociales;Accin concertada en Servicios Sociales
2016;G;3;30;300;;Intereses ttulos Deuda;Intereses de ttulos de la Deuda
2016;G;3;30;301;;Gtos em,mod,cancel. Deuda;Gastos de emisin, modificacin y cancelacin
2016;G;3;30;303;;Rendimientos implcitos;Rendimientos implcitos
2016;G;3;31;310;;Inter. prstamos interior;Intereses de Prstamos del interior
2016;G;3;31;311;;Gto form,mod,canc. pr.int;Gastos de formalizacin,modificacin y cancelacin
2016;G;3;31;312;;Inter.gtos oper.derivados;Intereses y otros de operaciones con derivados
2016;G;3;32;320;;Inter. prstamos interior;Intereses de prstamos del exterior
2016;G;3;32;321;;Gto form,mod,canc. pr.ext;Gastos de formalizacin,modificacin y cancelacin
2016;G;3;35;350;;Intereses de depsitos;Intereses de depsitos
2016;G;3;35;351;;Intereses de fianzas;Intereses de fianzas
2016;G;3;35;352;;Intereses de demora;Intereses de demora
2016;G;3;35;353;;Gastos de avales;Gastos de avales
2016;G;3;35;359;;Otros gtos dep,fianz,aval;Otros gastos de depsitos, fianzas y avales
2016;G;3;39;390;;Inter.otros prst,anticip;Intereses de otros prstamos y anticipos
2016;G;3;39;391;;Gts.otros prst.,anticip.;Gastos de otros prstamos y anticipos
2016;G;3;39;392;;Int. y otros op. der.fin.;Intereses y otros oper. con derivados financieros
2016;G;4;40;400;;A la Admn General Estado;A la Administracin General del Estado
2016;G;4;40;405;;A otros Entes de A.G.E.;A otros entes de la Administracin General Estado
2016;G;4;41;410;;A Organismos Autnomos;A Organismos Autnomos
2016;G;4;42;420;;A la Tesor. General S.S.;A la Tesorera General de la Seguridad Social
2016;G;4;42;421;;A otros Entes de la S.S.;A otros entes de la Seguridad Social
2016;G;4;44;440;;A Empr. y Entes Pblicos;A Empresas Pblicas y otros Entes Pblicos
2016;G;4;45;450;;A Comunidades Autnomas;A Comunidades Autnomas
2016;G;4;46;460;;A Corporaciones Locales;A Corporaciones Locales
2016;G;4;47;470;;A Empresas Privadas;A Empresas Privadas
2016;G;4;48;480;;A fam,ins.sin fines lucro;A familias e instituciones sin fines de lucro
2016;G;4;49;490;;Al Exterior;Al Exterior
2016;G;5;50;500;;Fondo Contingencia;Fondo de Contingencia de Ejecucin Presupuestaria
2016;G;6;60;600;;Terrenos y bien. natural;Terrenos y bienes naturales
2016;G;6;60;602;;Edific. y construcciones;Edificios y otras construcciones
2016;G;6;60;603;;Maq. instalac. y utillaje;Maquinaria, instalacin y utillaje
2016;G;6;60;604;;Material de transporte;Material de transporte
2016;G;6;60;605;;Mobiliario y enseres;Mobiliario y enseres
2016;G;6;60;606;;Equipos procesos inform.;Equipos para procesos de informacin
2016;G;6;60;607;;Bien. destin. uso general;Bienes destinados para uso general
2016;G;6;60;608;;Otro inmoviliz. material;Otro inmovilizado material
2016;G;6;60;609;;Inmovilizado Inmaterial;Inmovilizado Inmaterial
2016;G;7;70;700;;A la Admn General Estado;A la Administracin General del Estado
2016;G;7;70;705;;A otros entes de A.G.E.;A otros entes de la Administracin Genral. Estado
2016;G;7;71;710;;A Organismos Autnomos;A Organismos Autnomos
2016;G;7;72;720;;A la Tesor. General S.S.;A la Tesorera General de la Seguridad Social
2016;G;7;72;721;;A otros entes de la S.S.;A otros entes de la Seguridad Social
2016;G;7;74;740;;A Empr. y Entes Pblicos;A Empresas Pblicas y otros Entes Pblicos
2016;G;7;75;750;;A Comunidades Autnomas;A Comunidades Autnomas
2016;G;7;76;760;;A Corporaciones Locales;A Corporaciones Locales
2016;G;7;77;770;;A Empresas Privadas;A Empresas Privadas
2016;G;7;78;780;;A fam,ins.sin fines lucro;A familias e instituciones sin fines de lucro
2016;G;7;79;790;;Al Exterior;Al Exterior
2016;G;8;80;800;;Concedidos a corto plazo;Prstamos y anticipos concedidos a corto plazo
2016;G;8;80;801;;Concedidos a largo plazo;Prstamos y anticipos concedidos a largo plazo
2016;G;8;81;810;;Compra acc.part.Sect.Pbl;Compra acciones y participaciones Sector Pblico
2016;G;8;82;820;;Compra acc.part.Sect.Priv;Compra acciones y participaciones Sector Privado
2016;G;8;85;850;;Constitucin de fianzas;Constitucin de fianzas
2016;G;8;85;851;;Constitucin de depsitos;Constitucin de depsitos
2016;G;8;87;870;;Aport. Patrimoniales;Aportaciones Patrimoniales
2016;G;9;90;900;;Canc. tt. Deuda l/ plazo;Cancelacin de ttulos de la Deuda a largo plazo
2016;G;9;91;910;;Canc. prst l/p Ent.Crd.;Canc. prstamos l/plazo con Entidades de Crdito
2016;G;9;91;911;;Canc. prst c/p Ent.Crd.;Canc. prstamos c/plazo con Entidades de Crdito
2016;G;9;91;912;;Amort. prst l/p E.S.Pbl;Amort. prstamos l/plazo con Entes Sector Pblico
2016;G;1;10;100;100000;Retr.bsicas de Alt.Cargo;Retribuciones bsicas de Altos Cargos
2016;G;1;10;100;100001;Otras remun. de Alt.Cargo;Otras remuneraciones de Altos Cargos
2016;G;1;11;110;110000;Retr.bsicas de P.Ev.Gab.;Retribuciones bsicas Pers. Eventual de Gabinete
2016;G;1;11;110;110001;Otras remun. de P.Ev.Gab.;Otras remuneraciones de Pers. Eventual de Gabinete
2016;G;1;12;120;120000;Sueldos de Funcionarios;Sueldos de Personal Funcionario
2016;G;1;12;120;120005;Trienios de Funcionarios;Trienios de Personal Funcionario
2016;G;1;12;120;120006;Pagas extras Funcionarios;Pagas extraordinarias de Personal Funcionario
2016;G;1;12;121;121000;C. destino Funcionarios;Complemento de destino de Personal Funcionario
2016;G;1;12;121;121001;C. especif. Funcionarios;Complemento especfico de Personal Funcionario
2016;G;1;12;121;121008;C. progr. esp. Justicia;Compl. programas concretos de actuacin Justicia
2016;G;1;12;121;121009;Otras retr. compl. Func.;Otras retribuciones complementarias Funcionarios
2016;G;1;12;122;122000;Casa vivienda;Casa vivienda
2016;G;1;12;122;122001;Vestuario;Vestuario
2016;G;1;12;122;122002;Otras ret. en especie;Otras retribuciones en especie
2016;G;1;12;123;123000;Sueldos P. Func. Docente;Sueldos Personal Funcionario Docente
2016;G;1;12;123;123005;Trienios P Func. Docente;Trienios Personal Funcionario Docente
2016;G;1;12;123;123006;Pag. Ext. P Func. Docente;Pagas Extras Personal Funcionario Docente
2016;G;1;12;124;124000;Comp. Dest. P Func Docent;Complemento Destino Personal Funcionario Docente
2016;G;1;12;124;124001;Comp. Esp. P Func Docent;Complemento Especfic Personal Funcionario Docente
2016;G;1;12;124;124009;Otras Ret. Com P F Docent;Otras Retrib. Complem. Personal Funcionario Docent
2016;G;1;12;125;125000;Sueldo Funcionario Justic;Sueldo Funcionarios Cuerpo Nal. Justicia
2016;G;1;12;125;125005;Trienios Funcionario Just;Trienios Funcionarios Cuerpo Nal. Justicia
2016;G;1;12;125;125006;Extras Funcionarios Justi;Extras Funcionarios Cuerpo Nal. Justicia
2016;G;1;12;126;126000;C. Des Funcionario Justic;C. Destino Funcionarios Cuerpo Nal. Justicia
2016;G;1;12;126;126001;C. Esp Funcionario Justic;C. Especfico Funcionarios Cuerpo Nal. Justicia
2016;G;1;12;126;126008;Comp. ProgCon. F Nal. Jus;Comp. Prog. Concretos Act. Fun. C. Nales. Justicia
2016;G;1;12;126;126009;Otras RC F Nal. Justicia;Otras R. Complementarias Funcionarios Nal. Justici
2016;G;1;13;130;130000;Salario base Labor. Fijos;Salario base de Personal Laboral Fijo
2016;G;1;13;130;130001;Antigedad Labor. Fijos;Antigedad de Personal Laboral Fijo
2016;G;1;13;130;130002;Pagas extras Labor. Fijos;Pagas extraordinarias de Personal Laboral Fijo
2016;G;1;13;130;130003;Otras remun. Labor. Fijos;Otras remuneraciones de Personal Laboral Fijo
2016;G;1;13;131;131000;Salario base Labor.Event.;Salario base de Personal Laboral Eventual
2016;G;1;13;131;131001;Otras remun. Labor.Event.;Otras remuneraciones de Personal Laboral Eventual
2016;G;1;13;131;131100;Sal. Base P Lab Event Doc;Salario Base Personal Laboral Eventual Docente
2016;G;1;13;131;131101;Otras Rem P Lab Ev Docent;Otras Remuneraciones Pers Laboral Eventual Docente
2016;G;1;14;140;140000;Otro personal;Otro personal
2016;G;1;14;140;140100;Otro personal docente;Otro personal docente
2016;G;1;15;150;150000;Product fija Funcionarios;Productividad fija de Funcionarios
2016;G;1;15;150;150001;Product var. Funcionarios;Productividad variable de Funcionarios
2016;G;1;15;151;151000;Gratif. Funcionarios;Gratificaciones de Personal Funcionario
2016;G;1;15;151;151001;Gratif. no Funcionarios;Gratificaciones de Personal no Funcionario
2016;G;1;15;151;151002;Gratif. Pers Func Docente;Gratificaciones Personal Funcionario Docente
2016;G;1;15;151;151003;Jubilac. Docentes LOE;Incentivos jubilacin Personal Docente L.O.E.
2016;G;1;15;151;151004;Jubilac. Docentes DGA;Incentivos jubilacin Personal Docente D.G.A.
2016;G;1;15;151;151005;Gratif. Cuerpos Justicia;Gratific extraord. Cuerpos Nacionales de Justicia
2016;G;1;16;160;160000;Seguridad social;Seguridad social
2016;G;1;16;160;160001;MUFACE;MUFACE
2016;G;1;16;160;160009;Otras cuotas sociales;Otras cuotas sociales
2016;G;1;16;160;160100;S. Social Pers. Docente;Seguridad Social Personal Docente
2016;G;1;16;160;160200;SS Funcionarios Nal. Just;S. Social Funcionarios Cuerpos Nal. Justicia
2016;G;1;16;161;161000;Form.Perfecc. Fun no Lab.;Formacin y perfeccion. Funcionarios y no Laboral
2016;G;1;16;161;161001;Economatos y comedores;Economatos y comedores. Funcionarios y no Laboral
2016;G;1;16;161;161009;Otros GtosSoc.Func no Lab;Otros Gtos Sociales de Funcionarios y no Laborales
2016;G;1;16;161;161109;Otros G Soc PFun y no L D;Otros g sociales p funcionario y no laboral docent
2016;G;1;16;162;162000;Formac,perfecc. Laborales;Formacin y perfeccionamiento de Personal Laboral
2016;G;1;16;162;162001;Economatos y comedores;Economatos y comedores de Personal Laboral
2016;G;1;16;162;162009;Otros gtos social Labor.;Otros gastos sociales de Personal Laboral
2016;G;1;16;162;162109;Otros G Soc PLDocente;Otros gastos sociales personal laboral docente
2016;G;1;16;165;165000;Fondo de Accin Social;Fondo de Accin Social
2016;G;1;16;165;165001;Fondo de pensiones;Fondo de pensiones
2016;G;1;17;170;170000;Fondo Incremento Normat.;Fondo de Incremento Normativo
2016;G;1;17;171;171000;Fondos Adicionales;Fondos Adicionales
2016;G;1;17;172;172000;Otros Fondos Adicionales;Otros Fondos Adicionales
2016;G;1;18;180;180000;Sueldos A (no cupo) y APD;Sueldos del grupo A (excepto personal cupo) y APD
2016;G;1;18;180;180001;Sueldos A. Pers. de cupo;Sueldos del grupo A. Personal de cupo
2016;G;1;18;180;180002;Sueldos B (no cupo) y APD;Sueldos del grupo B (excepto personal cupo) y APD
2016;G;1;18;180;180003;Sueldos B. Pers. de cupo;Sueldos del grupo B. Personal de cupo
2016;G;1;18;180;180004;Sueldos grupo C;Sueldos del grupo C
2016;G;1;18;180;180005;Sueldos grupo D;Sueldos del grupo D
2016;G;1;18;180;180006;Sueldos grupo E;Sueldos del grupo E
2016;G;1;18;180;180050;Antigedad;Antigedad
2016;G;1;18;180;180060;Ext.Func,APD,est,no labor;Pagas Extra.Pers.func,estatutario y no laboral
2016;G;1;18;180;180100;C.Destino Estatut. y APD;Complemento de destino de Pers. Estatutario y APD
2016;G;1;18;180;180101;C.Carrera Estatut-Grupo A;Complemento Carrera Pers. Estatutario - Grupo A
2016;G;1;18;180;180102;C.Carrera Estatut-Grupo B;Complemento Carrera Pers. Estatutario - Grupo B
2016;G;1;18;180;180103;C.Carrera Estatut-Grupo C;Complemento Carrera Pers. Estatutario - Grupo C
2016;G;1;18;180;180104;C.Carrera Estatut-Grupo D;Complemento Carrera Pers. Estatutario - Grupo D
2016;G;1;18;180;180105;C.Carrera Estatut-Grupo E;Complemento Carrera Pers. Estatutario - Grupo E
2016;G;1;18;180;180110;C.Espec.Pers no sanitario;Compl. especfico. Pers no sanitario
2016;G;1;18;180;180111;C.Espec.Sanit facult,APD;Compl. especfico. Pers sanitario facult. y APD
2016;G;1;18;180;180112;C.Espec. Sanit no facult.;Compl. especfico. Pers sanitario no facult.
2016;G;1;18;180;180120;Turnic. No sanitario;Compl. especfico turnicidad. Pers no sanitario
2016;G;1;18;180;180121;Turnic. Sanitario facul;Compl. especfico turnicidad. Pers sanitario facul
2016;G;1;18;180;180122;Turnic. Sanitar no facul;Compl. especfico turnicidad. Pers sanit no facul
2016;G;1;18;180;180130;At.Cont. No sanitario;Compl. atencin continuada. Pers no sanitario
2016;G;1;18;180;180131;At.Cont. San facul y APD;Compl. atencin continuada. Pers sanit facul y APD
2016;G;1;18;180;180132;At.Cont. Sanitar no facul;Compl. atencin continuada. Pers sanitar no facul
2016;G;1;18;180;180140;Compl. transit. absorb.;Complementos transitorios absorbibles
2016;G;1;18;180;180150;Retrib. Complement. cupo;Retribuciones complementarias de cupo
2016;G;1;18;180;180190;Otros complementos;Otros complementos
2016;G;1;18;182;182000;P.Est. temporal. Grupo A;Personal Estatutario temporal. Grupo A
2016;G;1;18;182;182001;P.Est. temporal. Grupo B;Personal Estatutario temporal. Grupo B
2016;G;1;18;182;182002;P.Est. temporal. Grupo C;Personal Estatutario temporal. Grupo C
2016;G;1;18;182;182003;P.Est. temporal. Grupo D;Personal Estatutario temporal. Grupo D
2016;G;1;18;182;182004;P.Est. temporal. Grupo E;Personal Estatutario temporal. Grupo E
2016;G;1;18;182;182005;Compl.Pers Estat.Temporal;Retrib. complementarias Pers Estatutario Temporal
2016;G;1;18;183;183002;Otro pers.Bsicas y otras;Otro personal. Retrib. bsicas y otras remun.
2016;G;1;18;184;184000;Bsicas y otras remun.;Retribuciones bsicas y otras remuneraciones
2016;G;1;18;185;185000;Prod. fija Estat y APD;Productividad fija Personal Estatutario y APD
2016;G;1;18;185;185001;Prod. var. Estat y APD;Productividad variable Personal Estatutario y APD
2016;G;1;18;186;186000;Seguridad social;Seguridad social
2016;G;1;18;186;186001;Formacin del Personal;Formacin del Personal
2016;G;1;18;186;186002;Ayudas para estudio;Ayudas para estudio
2016;G;1;18;186;186003;Accin Social;Accin Social
2016;G;1;18;186;186004;Otros;Otros
2016;G;1;18;187;187000;Sueldos Pers.Formacin;Sueldos de Personal en formacin
2016;G;1;18;187;187001;Paga Extra Pers.Formacin;Pagas Extraordinarias de Personal en Formacin
2016;G;1;18;187;187002;C.At.Cont. Pers.Formacin;Compl. de At. Continuada de Personal en Formacin
2016;G;2;20;200;200000;Arrend. Terr y  B. natur.;Arrendamientos de terrenos y bienes naturales
2016;G;2;20;202;202000;Arrend. Edific. y constr;Arrendamientos de edificios y otras construcciones
2016;G;2;20;203;203000;Arrend. Maq,inst,utillaje;Arrendamientos maquinaria, instalacin y utillaje
2016;G;2;20;204;204000;Arrend. Material transp.;Arrendamientos de material de transporte
2016;G;2;20;205;205000;Arrend. Mobil.,enseres;Arrendamientos de mobiliario y enseres
2016;G;2;20;206;206000;Arrend. Equip proc inform;Arrendamientos de equipos procesos de informacin
2016;G;2;20;209;209000;Arrend. otro inmov. mat.;Arrendamientos de otro inmovilizado material
2016;G;2;21;210;210000;Rep.Const.Terr y B.natur.;Rep. y conservacin de terrenos y bienes naturales
2016;G;2;21;212;212000;Rep.Const. Edif. y constr;Rep. y conservacin edificios y otras construcc.
2016;G;2;21;213;213000;Rep.Const. Maq,inst,utill;Rep. y conserv. maquinaria,instalaciones,utillaje
2016;G;2;21;214;214000;Rep.Const. Mat. transport;Reparacin y conservacin material de transporte
2016;G;2;21;215;215000;Rep.Const. Mobil.,enseres;Reparacin y conservacin de mobiliario y enseres
2016;G;2;21;216;216000;Rep.Const. Equip informac;Rep. y conserv. equipos procesos de informacin
2016;G;2;21;219;219000;Rep.Const. otr inm. mat.;Rep. y conservacin de otro inmovilizado material
2016;G;2;22;220;220000;Ordinar. no inventariable;Ordinario no inventariable
2016;G;2;22;220;220001;Mobiliario y enseres;Mobiliario y enseres
2016;G;2;22;220;220002;Prensa,revistas,publ.per.;Prensa, revistas y publicaciones peridicas
2016;G;2;22;220;220003;Libros y otras public.;Libros y otras publicaciones
2016;G;2;22;220;220004;Material informtico;Material informtico
2016;G;2;22;220;220005;Adquisicin Cartones Bing;Adquisicin Cartones de Bingo
2016;G;2;22;220;220009;Otro material de oficina;Otro material de oficina
2016;G;2;22;221;221000;Energa elctrica;Energa elctrica
2016;G;2;22;221;221001;Agua;Agua
2016;G;2;22;221;221002;Gas;Gas
2016;G;2;22;221;221003;Combustibles;Combustibles
2016;G;2;22;221;221004;Vestuario;Vestuario
2016;G;2;22;221;221005;Productos alimenticios;Productos alimenticios
2016;G;2;22;221;221006;Productos farmacuticos;Productos farmacuticos
2016;G;2;22;221;221009;Otros suministros;Otros suministros
2016;G;2;22;221;221011;Implantes;Implantes
2016;G;2;22;221;221012;Material de laboratorio;Material de laboratorio
2016;G;2;22;221;221013;Material de radiologa;Material de radiologa
2016;G;2;22;221;221014;Instrum,utillaje sanitar.;Instrumental y pequeo utillaje sanitario
2016;G;2;22;221;221015;Material reactivo;Material reactivo
2016;G;2;22;221;221019;Otro material sanitario;Otro material sanitario
2016;G;2;22;222;222000;Telefnicas;Telefnicas
2016;G;2;22;222;222001;Postales;Postales
2016;G;2;22;222;222002;Telegrficas;Telegrficas
2016;G;2;22;222;222003;Tlex y telefax;Tlex y telefax
2016;G;2;22;222;222009;Otras comunicaciones;Otras comunicaciones
2016;G;2;22;223;223000;Transporte;Transporte
2016;G;2;22;224;224000;Primas edificios, locales;Primas de Edificios y locales
2016;G;2;22;224;224001;Primas de vehculos;Primas de vehculos
2016;G;2;22;224;224002;Primas de otro inmoviliz.;Primas de otro inmovilizado
2016;G;2;22;224;224003;Otros riesgos;Otros riesgos
2016;G;2;22;225;225000;Tributos locales;Tributos locales
2016;G;2;22;225;225001;Tributos autonmicos;Tributos autonmicos
2016;G;2;22;225;225002;Tributos estatales;Tributos estatales
2016;G;2;22;226;226000;Cnones;Cnones
2016;G;2;22;226;226001;Atenc.Protoc. y represent;Atenciones protocolarias y representativas
2016;G;2;22;226;226002;Gtos divulg. y promocin;Gastos de divulgacin y promocin
2016;G;2;22;226;226003;Jurdicos, Contenciosos;Jurdicos, Contenciosos
2016;G;2;22;226;226004;Remun.agentes med. indep.;Remuneraciones a agentes mediadores independientes
2016;G;2;22;226;226005;Reuniones y conferencias;Reuniones y conferencias
